,MSA,Year,Population,Overdose Deaths,Unintentional Overdose Deaths,Alcohol-Induced Deaths
0,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2007,1550291.0,155.0,26.0,57.0
1,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2008,1574340.0,171.0,31.0,66.0
2,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2009,1596169.0,133.0,40.0,40.0
3,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2010,1612474.0,166.0,46.0,107.0
4,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2011,1649492.0,156.0,61.0,96.0
5,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2012,1684862.0,154.0,50.0,58.0
6,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2013,1697633.0,167.0,49.0,81.0
7,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2014,1718480.0,208.0,31.0,69.0
8,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2015,1745433.0,236.0,89.0,72.0
9,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2016,1763657.0,260.0,87.0,53.0
10,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2017,1794676.0,260.0,215.0,147.0
11,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2018,1806672.0,281.0,229.0,160.0
12,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2019,1823234.0,271.0,225.0,151.0
13,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2020,1839411.0,339.0,290.0,224.0
14,"Austin-Round Rock-Georgetown, TX MSA",2007,955399.0,111.0,10.0,20.0
15,"Austin-Round Rock-Georgetown, TX MSA",2008,980699.0,82.0,13.0,23.0
16,"Austin-Round Rock-Georgetown, TX MSA",2009,1006503.0,120.0,95.0,77.0
17,"Austin-Round Rock-Georgetown, TX MSA",2010,1024266.0,122.0,98.0,84.0
18,"Austin-Round Rock-Georgetown, TX MSA",2011,1063130.0,155.0,136.0,69.0
19,"Austin-Round Rock-Georgetown, TX MSA",2012,1095584.0,158.0,140.0,13.0
20,"Austin-Round Rock-Georgetown, TX MSA",2013,1120954.0,158.0,10.0,14.0
21,"Austin-Round Rock-Georgetown, TX MSA",2014,1151145.0,134.0,16.0,16.0
22,"Austin-Round Rock-Georgetown, TX MSA",2015,1176558.0,139.0,12.0,11.0
23,"Austin-Round Rock-Georgetown, TX MSA",2016,1199323.0,149.0,125.0,14.0
24,"Austin-Round Rock-Georgetown, TX MSA",2017,1226698.0,148.0,125.0,13.0
25,"Austin-Round Rock-Georgetown, TX MSA",2018,1248743.0,163.0,15.0,20.0
26,"Austin-Round Rock-Georgetown, TX MSA",2019,1273954.0,170.0,148.0,119.0
27,"Austin-Round Rock-Georgetown, TX MSA",2020,1300503.0,221.0,193.0,167.0
28,"Baltimore-Columbia-Towson, MD MSA",2007,1470222.0,309.0,21.0,82.0
29,"Baltimore-Columbia-Towson, MD MSA",2008,1470351.0,225.0,36.0,96.0
30,"Baltimore-Columbia-Towson, MD MSA",2009,1476670.0,278.0,35.0,78.0
31,"Baltimore-Columbia-Towson, MD MSA",2010,1484381.0,206.0,37.0,81.0
32,"Baltimore-Columbia-Towson, MD MSA",2011,1490726.0,196.0,42.0,77.0
33,"Baltimore-Columbia-Towson, MD MSA",2012,1502480.0,255.0,72.0,80.0
34,"Baltimore-Columbia-Towson, MD MSA",2013,1512185.0,264.0,70.0,78.0
35,"Baltimore-Columbia-Towson, MD MSA",2014,1527223.0,342.0,67.0,78.0
36,"Baltimore-Columbia-Towson, MD MSA",2015,1531384.0,406.0,122.0,88.0
37,"Baltimore-Columbia-Towson, MD MSA",2016,1522713.0,656.0,149.0,95.0
38,"Baltimore-Columbia-Towson, MD MSA",2017,1524404.0,732.0,190.0,104.0
39,"Baltimore-Columbia-Towson, MD MSA",2018,1511803.0,834.0,235.0,116.0
40,"Baltimore-Columbia-Towson, MD MSA",2019,1502817.0,899.0,224.0,141.0
41,"Baltimore-Columbia-Towson, MD MSA",2020,1495743.0,1076.0,394.0,162.0
42,"Birmingham-Hoover, AL MSA",2007,918002.0,147.0,36.0,56.0
43,"Birmingham-Hoover, AL MSA",2008,926267.0,150.0,102.0,70.0
44,"Birmingham-Hoover, AL MSA",2009,934158.0,178.0,42.0,49.0
45,"Birmingham-Hoover, AL MSA",2010,937144.0,119.0,41.0,53.0
46,"Birmingham-Hoover, AL MSA",2011,941265.0,167.0,41.0,40.0
47,"Birmingham-Hoover, AL MSA",2012,946187.0,166.0,101.0,23.0
48,"Birmingham-Hoover, AL MSA",2013,949967.0,186.0,45.0,24.0
49,"Birmingham-Hoover, AL MSA",2014,954145.0,297.0,62.0,41.0
50,"Birmingham-Hoover, AL MSA",2015,956154.0,253.0,43.0,25.0
51,"Birmingham-Hoover, AL MSA",2016,958162.0,331.0,53.0,45.0
52,"Birmingham-Hoover, AL MSA",2017,961001.0,341.0,240.0,74.0
53,"Birmingham-Hoover, AL MSA",2018,963697.0,322.0,215.0,107.0
54,"Birmingham-Hoover, AL MSA",2019,965787.0,330.0,234.0,100.0
55,"Birmingham-Hoover, AL MSA",2020,967509.0,443.0,329.0,119.0
56,"Boston-Cambridge-Newton, MA-NH MSA",2007,693368.0,152.0,208.0,44.0
57,"Boston-Cambridge-Newton, MA-NH MSA",2008,702201.0,112.0,223.0,90.0
58,"Boston-Cambridge-Newton, MA-NH MSA",2009,716214.0,147.0,42.0,18.0
59,"Boston-Cambridge-Newton, MA-NH MSA",2010,722023.0,103.0,31.0,24.0
60,"Boston-Cambridge-Newton, MA-NH MSA",2011,730932.0,129.0,309.0,129.0
61,"Boston-Cambridge-Newton, MA-NH MSA",2012,744426.0,114.0,313.0,176.0
62,"Boston-Cambridge-Newton, MA-NH MSA",2013,755503.0,147.0,162.0,55.0
63,"Boston-Cambridge-Newton, MA-NH MSA",2014,767254.0,146.0,177.0,59.0
64,"Boston-Cambridge-Newton, MA-NH MSA",2015,778121.0,201.0,132.0,52.0
65,"Boston-Cambridge-Newton, MA-NH MSA",2016,784230.0,284.0,162.0,84.0
66,"Boston-Cambridge-Newton, MA-NH MSA",2017,797939.0,293.0,174.0,47.0
67,"Boston-Cambridge-Newton, MA-NH MSA",2018,807252.0,257.0,186.0,102.0
68,"Boston-Cambridge-Newton, MA-NH MSA",2019,803907.0,261.0,237.0,75.0
69,"Boston-Cambridge-Newton, MA-NH MSA",2020,801582.0,329.0,302.0,86.0
70,"Buffalo-Cheektowaga, NY MSA",2007,1137678.0,107.0,95.0,78.0
71,"Buffalo-Cheektowaga, NY MSA",2008,1136364.0,124.0,28.0,67.0
72,"Buffalo-Cheektowaga, NY MSA",2009,1195309.0,117.0,274.0,92.0
73,"Buffalo-Cheektowaga, NY MSA",2010,1135509.0,114.0,23.0,109.0
74,"Buffalo-Cheektowaga, NY MSA",2011,1134039.0,140.0,211.0,80.0
75,"Buffalo-Cheektowaga, NY MSA",2012,1134210.0,130.0,269.0,130.0
76,"Buffalo-Cheektowaga, NY MSA",2013,1134115.0,181.0,228.0,85.0
77,"Buffalo-Cheektowaga, NY MSA",2014,1136360.0,191.0,187.0,99.0
78,"Buffalo-Cheektowaga, NY MSA",2015,1194167.0,356.0,285.0,93.0
79,"Buffalo-Cheektowaga, NY MSA",2016,1191286.0,377.0,354.0,121.0
80,"Buffalo-Cheektowaga, NY MSA",2017,1194812.0,356.0,384.0,271.0
81,"Buffalo-Cheektowaga, NY MSA",2018,1187663.0,305.0,498.0,348.0
82,"Buffalo-Cheektowaga, NY MSA",2019,1225122.0,272.0,216.0,144.0
83,"Buffalo-Cheektowaga, NY MSA",2020,1182631.0,397.0,356.0,180.0
84,"Charlotte-Concord-Gastonia, NC-SC MSA",2007,1234217.0,133.0,94.0,113.0
85,"Charlotte-Concord-Gastonia, NC-SC MSA",2008,1266743.0,148.0,90.0,130.0
86,"Charlotte-Concord-Gastonia, NC-SC MSA",2009,1290372.0,149.0,116.0,75.0
87,"Charlotte-Concord-Gastonia, NC-SC MSA",2010,1223792.0,134.0,65.0,84.0
88,"Charlotte-Concord-Gastonia, NC-SC MSA",2011,1327825.0,152.0,99.0,107.0
89,"Charlotte-Concord-Gastonia, NC-SC MSA",2012,1353867.0,176.0,206.0,57.0
90,"Charlotte-Concord-Gastonia, NC-SC MSA",2013,1377184.0,153.0,107.0,96.0
91,"Charlotte-Concord-Gastonia, NC-SC MSA",2014,1400571.0,189.0,128.0,93.0
92,"Charlotte-Concord-Gastonia, NC-SC MSA",2015,1344391.0,188.0,214.0,142.0
93,"Charlotte-Concord-Gastonia, NC-SC MSA",2016,1450112.0,282.0,316.0,144.0
94,"Charlotte-Concord-Gastonia, NC-SC MSA",2017,1476756.0,285.0,228.0,162.0
95,"Charlotte-Concord-Gastonia, NC-SC MSA",2018,1498162.0,291.0,234.0,184.0
96,"Charlotte-Concord-Gastonia, NC-SC MSA",2019,1518943.0,272.0,239.0,139.0
97,"Charlotte-Concord-Gastonia, NC-SC MSA",2020,1542645.0,347.0,314.0,182.0
98,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2007,8219573.0,794.0,1458.0,545.0
99,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2008,8252073.0,859.0,2020.0,729.0
100,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2009,8289812.0,854.0,706.0,475.0
101,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2010,8316650.0,814.0,616.0,440.0
102,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2011,8357284.0,865.0,647.0,489.0
103,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2012,8374608.0,1007.0,730.0,498.0
104,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2013,8389726.0,966.0,712.0,459.0
